序号,分类,型号,标题,大小,分辨率,背光,类型,介质,亮度,对比度,Operating Temperature (oC),Storage Temperature (oC),应用,网址,Mass (g):,Outer Dimension (mm):,特性1,特性2
31,TFT Digital,TCG070WVLQEPNN-AN20,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,650:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQEPNN-AN20,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,Advanced Wide Viewing technology (85/85/85/85),LED backlight with LED driver built-in
32,TFT Digital,TCG070WVLQAPNN-AN04,800X480分辨率，7寸，500亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,500,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPNN-AN04,200,165 (W)  x 104.4 (H)  x 8.2 (D) ,AWV technology ( 85/85/85/85),
33,TFT Digital,TCG070WVLQAPNN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,500:01:00,-20 to 70,-30 to 80,"LED, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPNN-AN00,200,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
34,TFT Digital,TCG070WVLQAPFA-AA00,800X480分辨率，7寸，280亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,280,500:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Advanced-Wide-View, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLQAPFA-AA00,255,165 (W)  x 104.4 (H)  x 10 (D) ,With 4-wire resistive touch screen,AWV wide viewing angle ( 85/85/85/85)
35,TFT Digital,TCG070WVLPEANN-AN50,800X480分辨率，7寸，700亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN50,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,,
36,TFT Digital,TCG070WVLPEANN-AN30,800X480分辨率，7寸，700亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN30,210,165 (W)  x 104.4 (H)  x 8.6 (D) ,Hight brightness LED backlight with LED driver built-in,LVDS interface
37,TFT Digital,TCG070WVLPEANN-AN20,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN20,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,LED backlight with built-in LED drvier,LVDS interface
38,TFT Digital,TCG070WVLPEANN-AN00,800X480分辨率，7寸，350亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEANN-AN00,205,165 (W)  x 104.4 (H)  x 8.6 (D) ,,
39,TFT Digital,TCG070WVLPEAFA-AA30,800X480分辨率，7寸，560亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,560,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEAFA-AA30,265,165 (W)  x 104.4 (H)  x 10.4 (D) ,With 4-wire resistive touch screen,Built-in LED driver ( CCC)
40,TFT Digital,TCG070WVLPEAFA-AA20,800X480分辨率，7寸，280亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,280,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPEAFA-AA20,260,165 (W)  x 104.4 (H)  x 10.4 (D) ,With 4-wire resistive touch screen,With built-in constant current circuit for LED backlight
41,TFT Digital,TCG070WVLPCANN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPCANN-AN00,195,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
42,TFT Digital,TCG070WVLPAANN-AN50,800X480分辨率，7寸，700亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,700,1000:01:00,-20 to 70,-30 to 80,"High Bright, LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAANN-AN50,195,165 (W)  x 104.4 (H)  x 8.2 (D) ,,
43,TFT Digital,TCG070WVLPAANN-AN00,800X480分辨率，7寸，350亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,350,1000:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAANN-AN00,195,165 (W)  x 10404 (H)  x 8.2 (D) ,,
44,TFT Digital,TCG070WVLPAAFA-AA50,800X480分辨率，7寸，560亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,560,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAAFA-AA50,250,165 (W)  x 104.4 (H)  x 10 (D) ,4-wire resistive touch sreen,"7.0"" WVGA resolution"
45,TFT Digital,TCG070WVLPAAFA-AA00,800X480分辨率，7寸，270亮度全透，CMOS工业TFT,7,800X480,LED,Transmissive,CMOS,270,1000:01:00,-20 to 70,-30 to 80,"LED, 4-wire resistive TTS, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG070WVLPAAFA-AA00,250,165 (W)  x 104.4 (H)  x 10 (D) ,With 4-wire resistive touch screen,"7.0"" WVGA resolution"
46,TFT Digital,T-55785GD070J-LW-AHN,800X480分辨率，7寸，1000高亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,1000,750:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Built-in LED Driver, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55785GD070J-LW-AHN,230,169.8 (W)  x 109.7 (H)  x 9.7 (D) ,Advanced Wide View Technology ( AWV),with humiseal
47,TFT Digital,T-55785GD070J-LW-AGN,800X480分辨率，7寸，1000高亮度全透，LVDS工业TFT,7,800X480,LED,Transmissive,LVDS,1000,750:01:00,-30 to 80,-30 to 80,"LED, Super High Bright, Advanced-Wide-View, Side Mount, Built-in LED Driver, Industrial?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=T-55785GD070J-LW-AGN,235,169.8 (W)  x 109.7 (H)  x 9.7 (D) ,Super High Brightness (1000nits) for outdoor applications,Advanced Wide View Technology (85/85/85/85)
48,TFT Digital,TCG075VGLEAANN-GN00,640X480分辨率，7.5寸，400亮度全透，18位RGB工业TFT,7.5,640X480,LED,Transmissive,18-bit RGB Interface,400,500:01:00,-20 to 70,-30 to 80,"LED, Industrial ?",http://www.kyocera-display.com/products/partdetail.asp?PartNumber=TCG075VGLEAANN-GN00,340,184 (W)  x 139.8 (H)  x 12.7 (D) ,,
