,市场可交易,平均价格,最低价格
972,-1,-1,-1
973,-1,-1,-1
974,1,666,484.79
975,-1,-1,-1
976,-1,-1,-1
977,-1,-1,-1
978,-1,-1,-1
979,-1,-1,-1
980,-1,-1,-1
981,-1,-1,-1
982,-1,-1,-1
983,-1,-1,-1
984,-1,-1,-1
985,-1,-1,-1
986,-1,-1,-1
987,-1,-1,-1
988,-1,-1,-1
989,-1,-1,-1
990,-1,-1,-1
991,-1,-1,-1
992,-1,-1,-1
993,1,666,39.05
994,1,666,14.72
995,0,0,0
996,1,2.52,2.5
997,1,2.86,2.93
998,-1,-1,-1
999,-1,-1,-1
1000,-1,-1,-1
1001,-1,-1,-1
1002,-1,-1,-1
1003,-1,-1,-1
1004,-1,-1,-1
1005,-1,-1,-1
1006,-1,-1,-1
1007,-1,-1,-1
1008,-1,-1,-1
1009,1,6.78,6.8
1010,-1,-1,-1
1011,-1,-1,-1
1012,-1,-1,-1
1013,-1,-1,-1
1014,-1,-1,-1
1015,-1,-1,-1
1016,-1,-1,-1
1017,-1,-1,-1
1018,-1,-1,-1
1019,-1,-1,-1
1020,1,5.3,5.32
1021,1,4.61,5.13
1022,1,87.51,87.51
1023,0,0,0
1024,1,0.87,0.85
1025,0,0,0
1026,1,666,16.82
1027,1,6.18,6.01
1028,1,0.69,0.69
1029,1,1.59,1.61
1030,1,137.15,144.35
1031,1,666,19.27
1032,-1,-1,-1
1033,1,0.09,0.09
1034,-1,-1,-1
1035,1,0.25,0.25
1036,-1,-1,-1
1037,-1,-1,-1
1038,-1,-1,-1
1039,-1,-1,-1
1040,0,0,0
1041,1,53.64,53.24
1042,0,0,0
1043,1,106.44,109.55
1044,1,80.01,84.58
1045,-1,-1,-1
1046,1,10.4,10.4
1047,-1,-1,-1
1048,-1,-1,-1
1049,-1,-1,-1
1050,1,1.03,666
1051,1,0.12,0.18
1052,-1,-1,-1
1053,-1,-1,-1
1054,-1,-1,-1
1055,-1,-1,-1
1056,-1,-1,-1
1057,0,0,0
1058,0,0,0
1059,1,58.16,61.94
1060,-1,-1,-1
1061,-1,-1,-1
1062,-1,-1,-1
1063,-1,-1,-1
1064,-1,-1,-1
1065,-1,-1,-1
1066,1,0.13,0.14
1067,1,0.35,0.35
1068,1,0.06,0.07
1069,-1,-1,-1
1070,-1,-1,-1
1071,-1,-1,-1
1072,0,0,0
1073,-1,-1,-1
1074,-1,-1,-1
1075,-1,-1,-1
1076,-1,-1,-1
1077,-1,-1,-1
1078,-1,-1,-1
1079,-1,-1,-1
1080,-1,-1,-1
1081,-1,-1,-1
1082,-1,-1,-1
1083,-1,-1,-1
1084,0,0,0
1085,-1,-1,-1
1086,-1,-1,-1
1087,-1,-1,-1
1088,-1,-1,-1
1089,-1,-1,-1
1090,-1,-1,-1
1091,-1,-1,-1
1092,1,0.13,0.08
1093,-1,-1,-1
1094,-1,-1,-1
1095,0,0,0
1096,-1,-1,-1
1097,-1,-1,-1
1098,-1,-1,-1
1099,-1,-1,-1
1100,-1,-1,-1
1101,1,0.15,0.16
1102,1,0.07,0.08
1103,-1,-1,-1
1104,0,0,0
1105,-1,-1,-1
1106,-1,-1,-1
1107,-1,-1,-1
1108,-1,-1,-1
1109,-1,-1,-1
1110,-1,-1,-1
1111,-1,-1,-1
1112,1,0.15,0.16
1113,-1,-1,-1
1114,-1,-1,-1
1115,-1,-1,-1
1116,-1,-1,-1
1117,-1,-1,-1
1118,-1,-1,-1
1119,-1,-1,-1
1120,0,0,0
1121,1,0.04,0.05
1122,-1,-1,-1
1123,-1,-1,-1
1124,-1,-1,-1
1125,1,0.03,0.04
1126,1,0.03,0.04
1127,-1,-1,-1
1128,0,0,0
1129,-1,-1,-1
1130,-1,-1,-1
1131,-1,-1,-1
1132,-1,-1,-1
1133,-1,-1,-1
1134,-1,-1,-1
1135,-1,-1,-1
1136,-1,-1,-1
1137,-1,-1,-1
1138,-1,-1,-1
1139,1,0.95,0.94
1140,1,1.14,1.12
1141,1,4.57,4.34
1142,1,666,343.1
1143,0,0,0
1144,-1,-1,-1
1145,1,666,"3,206.50"
1146,1,1.44,1.49
1147,1,2.2,2.21
1148,1,666,666
1149,1,9.43,12.02
1150,1,1.93,2.5
1151,1,16.72,16.73
1152,-1,-1,-1
1153,-1,-1,-1
1154,1,216.24,216.95
1155,-1,-1,-1
1156,0,0,0
1157,-1,-1,-1
1158,1,666,49.22
1159,-1,-1,-1
1160,-1,-1,-1
1161,-1,-1,-1
1162,-1,-1,-1
1163,0,0,0
1164,0,0,0
1165,-1,-1,-1
1166,-1,-1,-1
1167,-1,-1,-1
1168,0,0,0
1169,-1,-1,-1
1170,-1,-1,-1
1171,-1,-1,-1
1172,-1,-1,-1
1173,-1,-1,-1
1174,0,0,0
1175,1,666,243.05
1176,-1,-1,-1
1177,-1,-1,-1
1178,-1,-1,-1
1179,-1,-1,-1
1180,-1,-1,-1
1181,-1,-1,-1
1182,-1,-1,-1
1183,-1,-1,-1
1184,-1,-1,-1
1185,-1,-1,-1
1186,-1,-1,-1
1187,-1,-1,-1
1188,-1,-1,-1
1189,0,0,0
1190,1,666,255.54
1191,-1,-1,-1
1192,-1,-1,-1
1193,-1,-1,-1
1194,1,0.02,0.04
1195,-1,-1,-1
1196,-1,-1,-1
1197,1,31.8,32.14
1198,1,1.75,1.96
1199,0,0,0
1200,-1,-1,-1
1201,-1,-1,-1
1202,-1,-1,-1
1203,-1,-1,-1
1204,-1,-1,-1
1205,1,666,559.76
1206,-1,-1,-1
1207,0,0,0
1208,1,666,197.68
1209,-1,-1,-1
1210,-1,-1,-1
1211,-1,-1,-1
1212,-1,-1,-1
1213,0,0,0
1214,1,666,245.5
1215,-1,-1,-1
1216,1,0.03,0.04
1217,-1,-1,-1
